no,dis,lat,lng,imgLink,offImgLink
1,藤枝駅北口広場,34.8498000,138.252500,./img/stamp/fujikitas.png,./img/stamp/fujikitasB.png
2,藤枝駅南口広場,34.8490000,138.252500,./img/stamp/stampGet.png,./img/stamp/stampSample.png
3,藤枝駅南通り,34.847782,138.253561,./img/stamp/stampGet.png,./img/stamp/stampSample.png
4,岡部宿大旅籠柏屋,34.9193000,138.2825800,./img/stamp/okabes.png,./img/stamp/okabesB.png
5,蓮華寺池公園,34.8751221,138.2524786,./img/stamp/rengejis.png,./img/stamp/rengejisB.png
6,島田市駅前,34.8307965,138.1739739,./img/stamp/simadas.png,./img/stamp/simadasB.png
7,島田市駅前緑地,34.8313728,138.1737687,./img/stamp/sankakus.png,./img/stamp/sankakusB.png
8,帯通り,34.8327585,138.1762455,./img/stamp/obidors.png,./img/stamp/obidorsB.png
9,金谷駅前,34.8191684,138.1251899,./img/stamp/kanayas.png,./img/stamp/kanayasB.png
10,六合駅前,34.8361591,138.2043456,./img/stamp/rokugos.png,./img/stamp/rokugosB.png
11,青葉シンボルロード,34.9734533,138.3820972,./img/stamp/aobas.png,./img/stamp/aobasB.png
12,清水港線跡遊歩道,35.0182562,138.489236,./img/stamp/simizus.png,./img/stamp/simizusB.png
13,焼津駅南口駅前広場,34.8717453,138.3181213,./img/stamp/yaidus.png,./img/stamp/yaidusB.png
14,サンプル,34.834749,138.183337,./img/stamp/stampGet.png,./img/stamp/stampSample.png
15,
